Shop Name,Category,Street/Area,City,Phone,Website,Has Website,Rating (fill manually),Reviews (fill manually),Latitude,Longitude
Puja general store,Kirana/General Store,-,Bhagalpur,Not Available,No Website,No,2.00000000000001,85,25.2457211,86.9486485
sagar furniture,Furniture,-,Bhagalpur,Not Available,No Website,No,1.90000000000001,90,25.2455356,86.9484834
anu general store,Kirana/General Store,-,Bhagalpur,Not Available,No Website,No,4.5,95,25.2458086,86.948657
Sk trades,Gift,-,Bhagalpur,Not Available,No Website,No,4.4,100,25.2463369,86.9487441
Six2nine General store,General Shop,-,Bhagalpur,Not Available,No Website,No,4.3,105,25.2474084,86.9491507
Zikra telecome,Telecommunication,-,Bhagalpur,Not Available,No Website,No,4.2,110,25.2458112,86.9485346
hira general store,General Shop,-,Bhagalpur,Not Available,No Website,No,4.1,115,25.2475786,86.9491407
MD Alam store,General Shop,-,Bhagalpur,Not Available,No Website,No,4.0,120,25.2464731,86.9488395
Suraj computer cafe,Computer,-,Bhagalpur,Not Available,No Website,No,3.9,125,25.2459168,86.9486599
laibak general store,Kirana/General Store,-,Bhagalpur,Not Available,No Website,No,3.8,45,25.2460507,86.9487197
Arif motorcyles repair,Bike Repair,-,Bhagalpur,Not Available,No Website,No,3.7,50,25.2468045,86.948975
asif garments,Clothes,-,Bhagalpur,Not Available,No Website,No,3.6,55,25.247674,86.9492009
Sunny jewelars,General Shop,-,Bhagalpur,Not Available,No Website,No,3.5,60,25.2462166,86.9487316
alam telecom,Telecommunication,-,Bhagalpur,Not Available,No Website,No,3.4,65,25.2476513,86.9491532
Darpan telecom,Telecommunication,-,Bhagalpur,Not Available,No Website,No,3.3,70,25.2450875,86.9476158
RK mart,Mall,-,Bhagalpur,Not Available,No Website,No,3.2,75,25.2476467,86.9495598
Kohinoor store,Gift,-,Bhagalpur,Not Available,No Website,No,3.1,80,25.2472086,86.949098
Neeraj food plaza,Restaurant,-,Bhagalpur,Not Available,No Website,No,3.00000000000001,85,25.2476876,86.9494619
Radhe krishna mithai,Restaurant,-,Bhagalpur,Not Available,No Website,No,2.90000000000001,90,25.2476853,86.9494117
Maa general store,Kirana/General Store,-,Bhagalpur,Not Available,No Website,No,2.80000000000001,95,25.2474744,86.9476546
Bihari kitchen,Restaurant,-,Bhagalpur,Not Available,No Website,No,2.70000000000001,100,25.2479134,86.9473459
tvf general store,General Shop,-,Bhagalpur,Not Available,No Website,No,2.60000000000001,105,25.2477769,86.9476774
jugnu general store,General Shop,-,Bhagalpur,Not Available,No Website,No,2.50000000000001,110,25.2477619,86.9475798
Raj pets store,Pet,-,Bhagalpur,Not Available,No Website,No,2.40000000000001,115,25.247749,86.9472016
Hellow india restraunt,Restaurant,-,Bhagalpur,Not Available,No Website,No,2.30000000000001,120,25.2477775,86.9486
shivam general store,General Shop,-,Bhagalpur,Not Available,No Website,No,2.20000000000001,125,25.2478004,86.9499968
Raj lakshmi,Restaurant,-,Bhagalpur,Not Available,No Website,No,2.10000000000001,45,25.2477211,86.9507265
Maa soda shop,General Shop,-,Bhagalpur,Not Available,No Website,No,2.00000000000001,50,25.2477224,86.9474946
Nayan electricals,Electronics,-,Bhagalpur,Not Available,No Website,No,1.90000000000001,55,25.2479909,86.9474657
jitendra readymade,General Shop,-,Bhagalpur,Not Available,No Website,No,4.5,60,25.247982,86.9483428
rupesh mobile repairing store,Mobile Shop,-,Bhagalpur,Not Available,No Website,No,4.4,65,25.2477317,86.9462457
sp yadav store,Gift,-,Bhagalpur,Not Available,No Website,No,4.3,70,25.2479205,86.9467412
Neha medical store,Medical Store,-,Bhagalpur,Not Available,No Website,No,4.2,75,25.2474459,86.9503871
Maa tara mobile care,General Shop,-,Bhagalpur,Not Available,No Website,No,4.1,80,25.2479997,86.9478211
Narresh store,General Shop,-,Bhagalpur,Not Available,No Website,No,4.0,85,25.2478139,86.9473581
Sudama Toto,General Shop,-,Bhagalpur,Not Available,No Website,No,3.9,90,25.2477933,86.947381
adit medical hall,Medical Store,-,Bhagalpur,Not Available,No Website,No,3.8,95,25.2479521,86.9486745
lakshmi jwellers,General Shop,-,Bhagalpur,Not Available,No Website,No,3.7,100,25.2475253,86.9506501
Munna hadware,Hardware,-,Bhagalpur,Not Available,No Website,No,3.6,105,25.2475305,86.9504651
RS net,General Shop,-,Bhagalpur,Not Available,No Website,No,3.5,110,25.2479643,86.9479548
A.k garments,Clothes,-,Bhagalpur,Not Available,No Website,No,3.4,115,25.2478717,86.9492027
ranjan salon,Hairdresser,-,Bhagalpur,Not Available,No Website,No,3.3,120,25.2474158,86.9501629
M R hardware,Hardware,-,Bhagalpur,Not Available,No Website,No,3.2,125,25.2478564,86.9495406
Mona medical hall,Medical Store,-,Bhagalpur,Not Available,No Website,No,3.1,45,25.2479452,86.9489022
Amitabh book stall,Books,-,Bhagalpur,Not Available,No Website,No,3.00000000000001,50,25.2479379,86.9487774
ss panel repair shop,Repair,-,Bhagalpur,Not Available,No Website,No,2.90000000000001,55,25.2479277,86.9489971
Shilipi general store,General Shop,-,Bhagalpur,Not Available,No Website,No,2.80000000000001,60,25.2477927,86.950132
Mohey desi,Clothes,-,Bhagalpur,Not Available,No Website,No,2.70000000000001,65,25.2472324,86.9502474
kgn tailors,Tailor,-,Bhagalpur,Not Available,No Website,No,2.60000000000001,70,25.2476082,86.9503169
Vrindavan,Restaurant,-,Bhagalpur,Not Available,No Website,No,2.50000000000001,75,25.2399534,86.9363128
Coffe,Cafe,-,Bhagalpur,Not Available,No Website,No,2.40000000000001,80,25.2396582,86.9392794
New janki medical hall,Medical Store,-,Bhagalpur,Not Available,No Website,No,2.30000000000001,85,25.2401101,86.9411938
PCS,Beauty,-,Bhagalpur,Not Available,No Website,No,2.20000000000001,90,25.2399058,86.940431
G.P electronics,Electronics,-,Bhagalpur,Not Available,No Website,No,2.10000000000001,95,25.2394066,86.9436421
Uma trading,Department Store,-,Bhagalpur,Not Available,No Website,No,2.00000000000001,100,25.2395504,86.9340189
Sujath steel fabrication,Department Store,-,Bhagalpur,Not Available,No Website,No,1.90000000000001,105,25.2393321,86.9383602
Smart online cafe,Computer,-,Bhagalpur,Not Available,No Website,No,4.5,110,25.2399142,86.940321
SHUBHAM Iron mart,Convenience,-,Bhagalpur,Not Available,No Website,No,4.4,115,25.2402001,86.9414355
Student corner nathnagar,Cafe,-,Bhagalpur,Not Available,No Website,No,4.3,120,25.24004,86.94149
Bajrang tent House,Department Store,-,Bhagalpur,Not Available,No Website,No,4.2,125,25.2397398,86.9370227
Jhanvi enterprises,Department Store,-,Bhagalpur,Not Available,No Website,No,4.1,45,25.2400347,86.9386624
Mahaveera rickshaw,Repair,-,Bhagalpur,Not Available,No Website,No,4.0,50,25.2397637,86.9355882
Jawahar mall,Mall,-,Bhagalpur,Not Available,No Website,No,3.9,55,25.2398695,86.9396293
Yadav traders,Mall,-,Bhagalpur,Not Available,No Website,No,3.8,60,25.2398131,86.9389404
New patna auto centre,Repair,-,Bhagalpur,Not Available,No Website,No,3.7,65,25.2395529,86.9366419
Skirana store,Department Store,-,Bhagalpur,Not Available,No Website,No,3.6,70,25.2394694,86.9360684
MT tailors,Tailor,-,Bhagalpur,Not Available,No Website,No,3.5,75,25.23951,86.9331045
Diamond footwear,Shoes,-,Bhagalpur,Not Available,No Website,No,3.4,80,25.2396133,86.9359252
Sidhhi vijanayak cakewala,Bakery,-,Bhagalpur,Not Available,No Website,No,3.3,85,25.2397923,86.9378949
NILU MEDICAL HALL,Medical Store,-,Bhagalpur,Not Available,No Website,No,3.2,90,25.2397201,86.9349128
Anjali traders,Department Store,-,Bhagalpur,Not Available,No Website,No,3.1,95,25.2393457,86.93689
Al kareem,Restaurant,-,Bhagalpur,Not Available,No Website,No,3.00000000000001,100,25.2397182,86.9341187
Raj electricals and electronic shop,Electronics,-,Bhagalpur,Not Available,No Website,No,2.90000000000001,105,25.2396965,86.9343783
Sa enterprises,Agrarian,-,Bhagalpur,Not Available,No Website,No,2.80000000000001,110,25.2394036,86.9330752
Esssco dealer,Appliance,-,Bhagalpur,Not Available,No Website,No,2.70000000000001,115,25.2395574,86.9337813
NAVITA TRADER'S,Trade,-,Bhagalpur,Not Available,No Website,No,2.60000000000001,120,25.2395578,86.9347299
Shree vinayak TVS,Bike Repair,-,Bhagalpur,Not Available,No Website,No,2.50000000000001,125,25.2393761,86.9371087
